provider,technology,plan,monthly_price_usd,advertised_mbps_down,source_url,as_of,notes
Frontier,DSL (Copper),Frontier Internet,64.99,,https://www.highspeedinternet.com/providers/frontier/internet,2026-09,with autopay and paperless billing; DSL speed not published (6 to 115 Mbps)
Alaska Communications,DSL (Copper),Unlimited Internet 75,84.99,75.0,https://www.alaskacommunications.com/Residential/Home-Internet-Plans,2026-09,requires a 24-month commitment
Hawaiian Telcom,DSL (Copper),,,,https://www.hawaiiantel.com/Residential/Internet-Overview,2026-09,no clear standalone residential DSL price found; provider now markets fiber only
Brightspeed,DSL (Copper),Internet 100,50.0,100.0,https://www.highspeedinternet.com/providers/brightspeed/internet,2026-09,$15 modem fee extra
AT&T Fiber,Fiber,300 Mbps (standard),55.0,300.0,https://broadbandnow.com/ATT-deals,2026-09,carried over from pricing_snapshot.csv
Verizon Fios,Fiber,300 Mbps,50.0,300.0,https://www.internetproviders.ai/providers/verizon-fios/,2026-09,carried over from pricing_snapshot.csv
Quantum Fiber,Fiber,500 Mbps,50.0,500.0,https://www.highspeedinternet.com/providers/quantum-fiber/internet,2026-09,price-locked; new customers only
Frontier,Fiber,Fiber 200,29.99,200.0,https://www.reviews.org/internet-service/cheap-frontier-internet-plans/,2026-09,no annual contract; price not promotional
Fidium,Fiber,Essential (100 Mbps),30.0,100.0,https://www.fidiumfiber.com/,2026-09,with autopay and paperless billing; $50 without
Metronet,Fiber,150 Mbps,34.95,150.0,https://www.reviews.org/internet-service/cheap-metronet-internet-plans/,2026-09,12-month promo; regular rate $54.95; now part of T-Mobile Fiber
KPU Telecommunications,Fiber,50/50,64.95,50.0,https://www.kputel.com/residential/internet/,2026-09,municipal utility (Ketchikan); the only published residential price found (50/50 plan); base price before taxes and fees
EarthLink Fiber,Fiber,Fiber 100,49.95,100.0,https://www.cabletv.com/earthlink/fiber,2026-09,12-month agreement; $14.95 router fee extra; promos from $34.95
Hawaiian Telcom,Fiber,Fioptics 100,30.0,100.0,https://fiberinternethawaii.com/internet/,2026-09,1-year eBill promo
Astound Broadband,Fiber,300 Mbps,25.0,300.0,https://www.highspeedinternet.com/providers/astound-broadband/internet,2026-09,introductory price; mostly a cable provider with fiber in select areas
C Spire Fiber,Fiber,Fiber (entry),55.0,,https://www.cspire.com/web/home-services/fiber-internet-deals-price-lock,2026-09,5-year price lock; $39 in select areas
Montana Opticom,Fiber,Fiber,45.0,1000.0,https://www.highspeedinternetdeals.com/provider/montana-opticom.html,2026-09,with autopay; new customers
SRT Communications,Fiber,Fiber (entry),34.95,,https://www.srt.com/,2026-09,plus fees; cooperative
Allo Communications,Fiber,Fiber (entry),79.0,,https://www.checkinternetavailability.com/providers/allo,2026-09,"varies by city; $79 entry confirmed by two third-party sources (checkinternetavailability.com, internetproviders.ai), range $79 to $133"
Ezee Fiber,Fiber,1 Gig,69.0,1000.0,https://ezeefiber.com/,2026-09,no contract
altafiber,Fiber,Fioptics 400,40.0,400.0,https://www.altafiber.com/internet,2026-09,eBill promo; about $15 more after promo
Ziply Fiber,Fiber,Fiber (entry),35.0,,https://ziplyfiber.com/,2026-09,$20 Fiber 100 promo ended 2026-09-23; $35 is the current as-low-as price
Horry Telephone Cooperative,Fiber,Fiber (entry),49.95,,https://www.htcinc.net/internet/,2026-09,12-month intro with autopay
Golden West Telecommunications,Fiber,1 Gig,59.95,1000.0,https://www.goldenwest.com/residential/internet,2026-09,cooperative; router $6 extra
TDS,Fiber,Fiber (entry),49.99,,https://tdstelecom.com/shop/internet-services/high-speed-internet-plans.html,2026-09,two-year price
Bluepeak,Fiber,1 Gig,55.0,1000.0,https://mybluepeak.com/internet/,2026-09,standard price with autopay; $2.70 network fee extra
